date,listeners,streams,followers
2018-11-02,2,3,292
2018-11-01,3,7,292
2018-10-31,2,2,292
2018-10-30,1,1,292
2018-10-29,3,3,292
2018-10-28,0,0,292
2018-10-27,3,4,292
2018-10-26,3,3,292
2018-10-25,4,5,292
2018-10-24,3,3,292
2018-10-23,5,7,292
2018-10-22,2,2,292
2018-10-21,4,7,292
2018-10-20,3,4,292
2018-10-19,3,3,292
2018-10-18,2,8,292
2018-10-17,2,3,292
2018-10-16,2,2,292
2018-10-15,2,3,292
2018-10-14,2,2,292
2018-10-13,0,0,292
2018-10-12,5,6,292
2018-10-11,4,9,292
2018-10-10,5,21,292
2018-10-09,5,5,292
2018-10-08,1,2,291
2018-10-07,2,2,291
2018-10-06,3,3,291
2018-10-05,1,3,291
2018-10-04,5,7,291
2018-10-03,4,7,291
2018-10-02,1,1,291
2018-10-01,3,3,291
2018-09-30,5,6,291
2018-09-29,1,1,291
2018-09-28,2,2,291
2018-09-27,3,5,291
2018-09-26,5,8,291
2018-09-25,2,3,291
2018-09-24,3,10,291
2018-09-23,3,3,291
2018-09-22,1,1,291
2018-09-21,3,9,291
2018-09-20,4,6,291
2018-09-19,1,1,291
2018-09-18,1,1,291
2018-09-17,1,1,291
2018-09-16,1,1,291
2018-09-15,2,2,291
2018-09-14,4,5,291
2018-09-13,2,3,291
2018-09-12,0,0,291
2018-09-11,4,11,291
2018-09-10,3,3,291
2018-09-09,4,4,291
2018-09-08,1,1,291
2018-09-07,5,5,291
2018-09-06,4,5,291
2018-09-05,2,3,291
2018-09-04,2,2,291
2018-09-03,2,4,291
2018-09-02,3,3,291
2018-09-01,3,3,291
2018-08-31,5,5,291
2018-08-30,6,8,290
2018-08-29,2,4,290
2018-08-28,5,5,290
2018-08-27,3,8,290
2018-08-26,5,5,290
2018-08-25,3,3,290
2018-08-24,7,7,290
2018-08-23,5,5,290
2018-08-22,7,9,290
2018-08-21,2,4,290
2018-08-20,4,14,289
2018-08-19,3,14,289
2018-08-18,2,3,289
2018-08-17,4,4,289
2018-08-16,4,4,289
2018-08-15,5,6,289
2018-08-14,2,11,289
2018-08-13,5,8,289
2018-08-12,6,13,289
2018-08-11,3,7,291
2018-08-10,8,8,291
2018-08-09,2,3,291
2018-08-08,5,7,291
2018-08-07,7,25,291
2018-08-06,7,9,291
2018-08-05,5,12,291
2018-08-04,5,6,290
2018-08-03,2,2,289
2018-08-02,4,5,289
2018-08-01,3,9,289
2018-07-31,3,3,289
2018-07-30,3,3,289
2018-07-29,4,5,289
2018-07-28,4,4,289
2018-07-27,1,1,289
2018-07-26,4,5,288
2018-07-25,3,3,288
2018-07-24,1,1,288
2018-07-23,3,14,288
2018-07-22,3,4,288
2018-07-21,2,2,288
2018-07-20,4,4,288
2018-07-19,3,3,288
2018-07-18,2,2,288
2018-07-17,4,4,288
2018-07-16,4,8,288
2018-07-15,3,3,288
2018-07-14,2,2,288
2018-07-13,5,6,288
2018-07-12,1,1,288
2018-07-11,4,5,288
2018-07-10,2,3,288
2018-07-09,3,3,288
2018-07-08,3,4,288
2018-07-07,4,4,288
2018-07-06,4,4,288
2018-07-05,2,6,288
2018-07-04,1,1,287
2018-07-03,3,5,287
2018-07-02,3,4,287
2018-07-01,4,5,287
2018-06-30,1,1,287
2018-06-29,2,2,287
2018-06-28,3,4,287
2018-06-27,2,4,287
2018-06-26,3,4,287
2018-06-25,5,7,287
2018-06-24,5,5,287
2018-06-23,3,3,287
2018-06-22,5,7,287
2018-06-21,5,8,287
2018-06-20,3,3,287
2018-06-19,1,1,287
2018-06-18,2,5,287
2018-06-17,2,4,287
2018-06-16,2,2,287
2018-06-15,0,0,287
2018-06-14,4,6,286
2018-06-13,1,2,286
2018-06-12,3,7,286
2018-06-11,4,6,286
2018-06-10,4,5,286
2018-06-09,3,6,286
2018-06-08,3,5,286
2018-06-07,3,6,286
2018-06-06,4,6,286
2018-06-05,3,4,286
2018-06-04,3,5,286
2018-06-03,3,4,286
2018-06-02,2,2,286
2018-06-01,3,4,286
2018-05-31,4,5,286
2018-05-30,1,1,286
2018-05-29,2,2,286
2018-05-28,2,2,286
2018-05-27,5,9,286
2018-05-26,2,2,285
2018-05-25,3,5,285
2018-05-24,3,3,285
2018-05-23,3,3,285
2018-05-22,3,3,285
2018-05-21,2,2,285
2018-05-20,4,5,285
2018-05-19,3,3,285
2018-05-18,3,4,285
2018-05-17,0,0,285
2018-05-16,4,5,285
2018-05-15,1,1,285
2018-05-14,3,5,285
2018-05-13,1,1,284
2018-05-12,1,1,284
2018-05-11,2,8,284
2018-05-10,2,42,284
2018-05-09,8,19,284
2018-05-08,7,26,284
2018-05-07,7,12,283
2018-05-06,2,2,283
2018-05-05,3,7,284
2018-05-04,4,5,284
2018-05-03,6,15,284
2018-05-02,5,5,284
2018-05-01,0,0,284
2018-04-30,3,6,284
2018-04-29,2,3,284
